Уровень,Количество учеников,Количество отзывов,Средняя оценка,Наличие сертификата,"Цена, ₽",Количество уроков,"Длительность уроков, ч"
0.5,5.241593793952948e-06,4.892607270414404e-05,1.0,no,0.002083506958913243,0.010438413361169102,0.0
0.0,2.2713573107129442e-05,0.0001467782181124321,1.0,no,0.016668055671305942,0.026096033402922755,0.0
0.0,6.202552656177655e-05,9.785214540828808e-05,1.0,yes,0.02749395782981915,0.14718162839248433,0.05333333333333334
0.0,1.3977583450541195e-05,4.892607270414404e-05,1.0,yes,0.02749395782981915,0.13987473903966596,0.06222222222222222
0.0,7.862390690929421e-05,9.785214540828808e-05,1.0,no,0.004917076423035253,0.04488517745302714,0.0
1.0,0.00010308467794774131,0.0005381867997455844,1.0,yes,0.18159846653887823,0.025052192066805846,0.0
0.5,1.7471979313176494e-05,0.00019570429081657617,1.0,yes,0.008334027835652971,0.015657620041753653,0.0
0.0,1.1356786553564721e-05,9.785214540828808e-05,1.0,yes,0.0032502708559046588,0.015657620041753653,0.0
0.0,9.609588622247072e-06,9.785214540828808e-05,0.9,yes,0.0032502708559046588,0.016701461377870562,0.0
0.5,9.522228725681189e-05,0.0004892607270414403,1.0,yes,0.01082590215851321,0.07828810020876827,0.035555555555555556
0.0,0.00015637421485292961,0.00019570429081657617,1.0,yes,0.02749395782981915,0.1419624217118998,0.06666666666666667
0.0,9.9590282085106e-05,0.00024463036352072017,1.0,no,0.007917326443870323,0.033402922755741124,0.044444444444444446
0.5,0.00010570547484471778,4.892607270414404e-05,1.0,yes,0.015834652887740646,0.030271398747390398,0.08
0.0,3.057596379805886e-05,0.0001467782181124321,0.86,no,0.003750312526043837,0.03966597077244259,0.035555555555555556
0.0,1.310398448488237e-05,4.892607270414404e-05,1.0,yes,0.010834236186348862,0.032359081419624215,0.0
0.0,4.804794311123536e-05,9.785214540828808e-05,1.0,yes,0.016668055671305942,0.021920668058455117,0.0
0.5,2.0966375175811793e-05,4.892607270414404e-05,1.0,yes,0.010834236186348862,0.038622129436325675,0.0
0.5,1.0483187587905896e-05,4.892607270414404e-05,1.0,yes,0.004167013917826486,0.007306889352818371,0.0
0.0,0.00021403174658641205,4.892607270414404e-05,1.0,yes,0.0016668055671305942,0.08872651356993737,0.013333333333333334
0.0,6.814071932138832e-05,4.892607270414404e-05,1.0,no,0.010417534794566214,0.018789144050104383,0.0
0.0,5.241593793952948e-06,4.892607270414404e-05,1.0,yes,0.016584715392949412,0.019832985386221295,0.0
0.5,1.2230385519223546e-05,9.785214540828808e-05,0.9,yes,0.020835069589132428,0.06889352818371608,0.0
0.5,0.00011706226139828251,0.00039140858163315233,1.0,yes,0.049087423951996,0.027139874739039668,0.0
0.0,0.00019743336623889436,0.0004892607270414403,0.9400000000000001,yes,0.012417701475122927,0.033402922755741124,0.0
0.0,5.1542338973870656e-05,0.0001467782181124321,1.0,yes,0.006475539628302359,0.025052192066805846,0.0
0.5,0.0006019096873389302,0.0006849650178580166,1.0,yes,0.016584715392949412,0.024008350730688934,0.022222222222222223
0.0,3.057596379805886e-05,0.0,0.0,no,0.040836736394699556,0.5292275574112735,0.09777777777777778
0.0,5.32895369051883e-05,0.0,0.0,no,0.040836736394699556,0.27348643006263046,0.2222222222222222
0.0,4.455354724860006e-05,0.0,0.0,no,0.032502708559046585,0.6805845511482255,0.09333333333333334
0.0,0.002399776358664791,0.006556093742355301,0.9800000000000001,yes,0.020835069589132428,0.08872651356993737,0.07555555555555556
0.5,1.1356786553564721e-05,9.785214540828808e-05,0.9,no,0.016668055671305942,0.030271398747390398,0.008888888888888889
0.5,0.0005442521556054477,0.0009295953813787367,1.0,yes,0.020826735561296775,0.08037578288100208,0.0
0.0,0.002670592038019027,0.0035226772346983706,1.0,yes,0.019168264022001835,0.23903966597077245,0.2222222222222222
0.0,0.0009111637211821541,0.004158716179852243,1.0,yes,0.01665972164347029,0.08977035490605428,0.0
0.0,0.0014527950798906254,0.0011742257448994569,1.0,yes,0.12417701475122928,0.2453027139874739,0.26666666666666666
0.0,0.00017908778796005905,9.785214540828808e-05,1.0,no,0.01791815984665389,0.6315240083507306,0.41333333333333333
0.0,0.00018695017865098847,0.0007338910905621606,0.9800000000000001,yes,0.02749395782981915,0.17536534446764093,0.08
0.0,0.0012632241043426605,0.0005871128724497284,0.9800000000000001,no,0.019168264022001835,0.003131524008350731,0.31555555555555553
0.0,0.0005459993535367654,0.0003424825089290083,1.0,no,0.020751729310775898,0.0020876826722338203,0.16444444444444445
0.0,0.0022285509613956616,0.007681393414550614,0.9400000000000001,yes,0.012417701475122927,0.04801670146137787,0.09333333333333334
0.5,0.003751233958538993,0.0011252996721953128,0.9199999999999999,yes,0.012417701475122927,0.055323590814196244,0.0
0.0,0.001593444513361696,0.0033269729438817944,0.9400000000000001,yes,0.016584715392949412,0.13987473903966596,0.09777777777777778
0.5,0.0001380286365740943,9.785214540828808e-05,0.9,no,0.008250687557296441,0.011482254697286013,0.0
0.0,0.0006438424376905538,0.001223151817603601,0.96,yes,0.012417701475122927,0.021920668058455117,0.013333333333333334
0.0,0.00134534240711459,0.0017124125446450413,0.8800000000000001,yes,0.012417701475122927,0.013569937369519834,0.0
0.0,0.0002664476845259415,0.00039140858163315233,1.0,no,0.01665972164347029,0.17014613778705637,0.0
0.0,0.00018170858485703554,0.0004892607270414403,0.86,yes,0.016584715392949412,0.017745302713987474,0.013333333333333334
0.5,0.0004743642383527418,0.0006360389451538725,0.9400000000000001,yes,0.026668889074089507,0.12212943632567849,0.057777777777777775
0.0,0.000338956398675624,4.892607270414404e-05,0.8,yes,0.025002083506958914,0.07933194154488518,0.0
0.5,0.0005066874000821183,0.001369930035716033,1.0,no,0.023751979331610967,0.10751565762004175,0.04888888888888889
0.0,0.0017148747695882728,0.007779245559958902,0.96,yes,0.01665972164347029,0.0918580375782881,0.013333333333333334
0.0,0.00030313884108361215,9.785214540828808e-05,1.0,no,0.01750145845487124,0.07724425887265135,0.04888888888888889
